x,y,field
14.2020202020202,0.1919191919191919,0.0
14.393939393939393,0.1919191919191919,0.0
14.585858585858585,0.1919191919191919,0.0
14.777777777777777,0.1919191919191919,0.0
14.969696969696969,0.1919191919191919,0.0
15.16161616161616,0.1919191919191919,0.0
15.353535353535353,0.1919191919191919,0.0
15.545454545454545,0.1919191919191919,0.0
15.737373737373737,0.1919191919191919,0.0
15.929292929292929,0.1919191919191919,0.0
16.12121212121212,0.1919191919191919,0.0
16.31313131313131,0.1919191919191919,0.0
16.505050505050505,0.1919191919191919,0.0
16.696969696969695,0.1919191919191919,0.0
16.88888888888889,0.1919191919191919,0.0
17.08080808080808,0.1919191919191919,0.0
17.27272727272727,0.1919191919191919,0.0
17.464646464646464,0.1919191919191919,0.0
17.656565656565654,0.1919191919191919,0.0
17.848484848484848,0.1919191919191919,0.0
18.040404040404038,0.1919191919191919,0.0
18.232323232323232,0.1919191919191919,0.0
18.424242424242422,0.1919191919191919,0.0
18.616161616161616,0.1919191919191919,0.0
18.808080808080806,0.1919191919191919,0.0
19.0,0.1919191919191919,0.0
0.0,0.3838383838383838,0.0
0.1919191919191919,0.3838383838383838,0.0
0.3838383838383838,0.3838383838383838,0.0
0.5757575757575757,0.3838383838383838,0.0
0.7676767676767676,0.3838383838383838,0.0
0.9595959595959596,0.3838383838383838,0.0
1.1515151515151514,0.3838383838383838,0.0
1.3434343434343434,0.3838383838383838,0.0
1.5353535353535352,0.3838383838383838,0.0
1.727272727272727,0.3838383838383838,0.0
1.9191919191919191,0.3838383838383838,0.0
2.111111111111111,0.3838383838383838,0.0
2.3030303030303028,0.3838383838383838,0.0
2.494949494949495,0.3838383838383838,0.0
2.686868686868687,0.3838383838383838,0.0
2.8787878787878785,0.3838383838383838,0.0
3.0707070707070705,0.3838383838383838,0.0
3.2626262626262625,0.3838383838383838,0.0
3.454545454545454,0.3838383838383838,0.0
3.646464646464646,0.3838383838383838,0.0
3.8383838383838382,0.3838383838383838,0.0
4.03030303030303,0.3838383838383838,0.0
4.222222222222222,0.3838383838383838,0.0
4.4141414141414135,0.3838383838383838,0.0
4.6060606060606055,0.3838383838383838,0.0
4.797979797979798,0.3838383838383838,0.0
4.98989898989899,0.3838383838383838,0.0
5.181818181818182,0.3838383838383838,0.0
5.373737373737374,0.3838383838383838,0.0
5.565656565656565,0.3838383838383838,0.0
5.757575757575757,0.3838383838383838,0.0
5.949494949494949,0.3838383838383838,0.0
6.141414141414141,0.3838383838383838,0.0
6.333333333333333,0.3838383838383838,0.0
6.525252525252525,0.3838383838383838,0.0
6.717171717171717,0.3838383838383838,0.0
6.909090909090908,0.3838383838383838,0.0
7.1010101010101,0.3838383838383838,0.0
7.292929292929292,0.3838383838383838,0.0
7.484848484848484,0.3838383838383838,0.0
7.6767676767676765,0.3838383838383838,0.0
7.8686868686868685,0.3838383838383838,0.0
8.06060606060606,0.3838383838383838,0.0
8.252525252525253,0.3838383838383838,0.0
8.444444444444445,0.3838383838383838,0.0
8.636363636363635,0.3838383838383838,0.0
8.828282828282827,0.3838383838383838,0.0
9.020202020202019,0.3838383838383838,0.0
9.212121212121211,0.3838383838383838,0.0
9.404040404040403,0.3838383838383838,0.0
9.595959595959595,0.3838383838383838,0.0
9.787878787878787,0.3838383838383838,0.0
9.97979797979798,0.3838383838383838,0.0
10.171717171717171,0.3838383838383838,0.0
10.363636363636363,0.3838383838383838,0.0
10.555555555555555,0.3838383838383838,0.0
10.747474747474747,0.3838383838383838,0.0
10.93939393939394,0.3838383838383838,0.0
11.13131313131313,0.3838383838383838,0.0
11.323232323232322,0.3838383838383838,0.0
11.515151515151514,0.3838383838383838,0.0
11.707070707070706,0.3838383838383838,0.0
11.898989898989898,0.3838383838383838,0.0
12.09090909090909,0.3838383838383838,0.0
12.282828282828282,0.3838383838383838,0.0
12.474747474747474,0.3838383838383838,0.0
12.666666666666666,0.3838383838383838,0.0
12.858585858585858,0.3838383838383838,0.0
13.05050505050505,0.3838383838383838,0.0
13.242424242424242,0.3838383838383838,0.0
13.434343434343434,0.3838383838383838,0.0
13.626262626262625,0.3838383838383838,0.0
13.818181818181817,0.3838383838383838,0.0
14.010101010101009,0.3838383838383838,0.0
14.2020202020202,0.3838383838383838,0.0
14.393939393939393,0.3838383838383838,0.0
14.585858585858585,0.3838383838383838,0.0
14.777777777777777,0.3838383838383838,0.0
14.969696969696969,0.3838383838383838,0.0
15.16161616161616,0.3838383838383838,0.0
15.353535353535353,0.3838383838383838,0.0
15.545454545454545,0.3838383838383838,0.0
15.737373737373737,0.3838383838383838,0.0
15.929292929292929,0.3838383838383838,0.0
16.12121212121212,0.3838383838383838,0.0
16.31313131313131,0.3838383838383838,0.0
16.505050505050505,0.3838383838383838,0.0
16.696969696969695,0.3838383838383838,0.0
16.88888888888889,0.3838383838383838,0.0
17.08080808080808,0.3838383838383838,0.0
17.27272727272727,0.3838383838383838,0.0
17.464646464646464,0.3838383838383838,0.0
17.656565656565654,0.3838383838383838,0.0
17.848484848484848,0.3838383838383838,0.0
18.040404040404038,0.3838383838383838,0.0
18.232323232323232,0.3838383838383838,0.0
18.424242424242422,0.3838383838383838,0.0
18.616161616161616,0.3838383838383838,0.0
18.808080808080806,0.3838383838383838,0.0
19.0,0.3838383838383838,0.0
0.0,0.5757575757575757,0.0
0.1919191919191919,0.5757575757575757,0.0
0.3838383838383838,0.5757575757575757,0.0
0.5757575757575757,0.5757575757575757,0.0
0.7676767676767676,0.5757575757575757,0.0
0.9595959595959596,0.5757575757575757,0.0
1.1515151515151514,0.5757575757575757,0.0
1.3434343434343434,0.5757575757575757,0.0
1.5353535353535352,0.5757575757575757,0.0
1.727272727272727,0.5757575757575757,0.0
1.9191919191919191,0.5757575757575757,0.0
2.111111111111111,0.5757575757575757,0.0
2.3030303030303028,0.5757575757575757,0.0
2.494949494949495,0.5757575757575757,0.0
2.686868686868687,0.5757575757575757,0.0
2.8787878787878785,0.5757575757575757,0.0
3.0707070707070705,0.5757575757575757,0.0
3.2626262626262625,0.5757575757575757,0.0
3.454545454545454,0.5757575757575757,0.0
3.646464646464646,0.5757575757575757,0.0
3.8383838383838382,0.5757575757575757,0.0
4.03030303030303,0.5757575757575757,0.0
4.222222222222222,0.5757575757575757,0.0
4.4141414141414135,0.5757575757575757,0.0
4.6060606060606055,0.5757575757575757,0.0
4.797979797979798,0.5757575757575757,0.0
4.98989898989899,0.5757575757575757,0.0
5.181818181818182,0.5757575757575757,0.0
5.373737373737374,0.5757575757575757,0.0
5.565656565656565,0.5757575757575757,0.0
5.757575757575757,0.5757575757575757,0.0
5.949494949494949,0.5757575757575757,0.0
6.141414141414141,0.5757575757575757,0.0
6.333333333333333,0.5757575757575757,0.0
6.525252525252525,0.5757575757575757,0.0
6.717171717171717,0.5757575757575757,0.0
6.909090909090908,0.5757575757575757,0.0
7.1010101010101,0.5757575757575757,0.0
7.292929292929292,0.5757575757575757,0.0
7.484848484848484,0.5757575757575757,0.0
7.6767676767676765,0.5757575757575757,0.0
7.8686868686868685,0.5757575757575757,0.0
8.06060606060606,0.5757575757575757,0.0
8.252525252525253,0.5757575757575757,0.0
8.444444444444445,0.5757575757575757,0.0
8.636363636363635,0.5757575757575757,0.0
8.828282828282827,0.5757575757575757,0.0
9.020202020202019,0.5757575757575757,0.0
9.212121212121211,0.5757575757575757,0.0
9.404040404040403,0.5757575757575757,0.0
9.595959595959595,0.5757575757575757,0.0
9.787878787878787,0.5757575757575757,0.0
9.97979797979798,0.5757575757575757,0.0
10.171717171717171,0.5757575757575757,0.0
10.363636363636363,0.5757575757575757,0.0
10.555555555555555,0.5757575757575757,0.0
10.747474747474747,0.5757575757575757,0.0
10.93939393939394,0.5757575757575757,0.0
11.13131313131313,0.5757575757575757,0.0
11.323232323232322,0.5757575757575757,0.0
11.515151515151514,0.5757575757575757,0.0
11.707070707070706,0.5757575757575757,0.0
11.898989898989898,0.5757575757575757,0.0
12.09090909090909,0.5757575757575757,0.0
12.282828282828282,0.5757575757575757,0.0
12.474747474747474,0.5757575757575757,0.0
12.666666666666666,0.5757575757575757,0.0
12.858585858585858,0.5757575757575757,0.0
13.05050505050505,0.5757575757575757,0.0
13.242424242424242,0.5757575757575757,0.0
13.434343434343434,0.5757575757575757,0.0
13.626262626262625,0.5757575757575757,0.0
13.818181818181817,0.5757575757575757,0.0
14.010101010101009,0.5757575757575757,0.0
14.2020202020202,0.5757575757575757,0.0
14.393939393939393,0.5757575757575757,0.0
14.585858585858585,0.5757575757575757,0.0
14.777777777777777,0.5757575757575757,0.0
14.969696969696969,0.5757575757575757,0.0
15.16161616161616,0.5757575757575757,0.0
15.353535353535353,0.5757575757575757,0.0
15.545454545454545,0.5757575757575757,0.0
15.737373737373737,0.5757575757575757,0.0
15.929292929292929,0.5757575757575757,0.0
16.12121212121212,0.5757575757575757,0.0
16.31313131313131,0.5757575757575757,0.0
16.505050505050505,0.5757575757575757,0.0
16.696969696969695,0.5757575757575757,0.0
16.88888888888889,0.5757575757575757,0.0
17.08080808080808,0.5757575757575757,0.0
17.27272727272727,0.5757575757575757,0.0
17.464646464646464,0.5757575757575757,0.0
17.656565656565654,0.5757575757575757,0.0
17.848484848484848,0.5757575757575757,0.0
18.040404040404038,0.5757575757575757,0.0
18.232323232323232,0.5757575757575757,0.0
18.424242424242422,0.5757575757575757,0.0
18.616161616161616,0.5757575757575757,0.0
18.808080808080806,0.5757575757575757,0.0
19.0,0.5757575757575757,0.0
0.0,0.7676767676767676,0.0
0.1919191919191919,0.7676767676767676,0.0
0.3838383838383838,0.7676767676767676,0.0
0.5757575757575757,0.7676767676767676,0.0
0.7676767676767676,0.7676767676767676,0.0
0.9595959595959596,0.7676767676767676,0.0
1.1515151515151514,0.7676767676767676,0.0
1.3434343434343434,0.7676767676767676,0.0
1.5353535353535352,0.7676767676767676,0.0
1.727272727272727,0.7676767676767676,0.0
1.9191919191919191,0.7676767676767676,0.0
2.111111111111111,0.7676767676767676,0.0
2.3030303030303028,0.7676767676767676,0.0
2.494949494949495,0.7676767676767676,0.0
2.686868686868687,0.7676767676767676,0.0
2.8787878787878785,0.7676767676767676,0.0
3.0707070707070705,0.7676767676767676,0.0
3.2626262626262625,0.7676767676767676,0.0
3.454545454545454,0.7676767676767676,0.0
3.646464646464646,0.7676767676767676,0.0
3.8383838383838382,0.7676767676767676,0.0
4.03030303030303,0.7676767676767676,0.0
4.222222222222222,0.7676767676767676,0.0
4.4141414141414135,0.7676767676767676,0.0
4.6060606060606055,0.7676767676767676,0.0
4.797979797979798,0.7676767676767676,0.0
4.98989898989899,0.7676767676767676,0.0
5.181818181818182,0.7676767676767676,0.0
5.373737373737374,0.7676767676767676,0.0
5.565656565656565,0.7676767676767676,0.0
5.757575757575757,0.7676767676767676,0.0
5.949494949494949,0.7676767676767676,0.0
6.141414141414141,0.7676767676767676,0.0
6.333333333333333,0.7676767676767676,0.0
6.525252525252525,0.7676767676767676,0.0
6.717171717171717,0.7676767676767676,0.0
6.909090909090908,0.7676767676767676,0.0
7.1010101010101,0.7676767676767676,0.0
7.292929292929292,0.7676767676767676,0.0
7.484848484848484,0.7676767676767676,0.0
7.6767676767676765,0.7676767676767676,0.0
7.8686868686868685,0.7676767676767676,0.0
8.06060606060606,0.7676767676767676,0.0
8.252525252525253,0.7676767676767676,0.0
8.444444444444445,0.7676767676767676,0.0
8.636363636363635,0.7676767676767676,0.0
8.828282828282827,0.7676767676767676,0.0
9.020202020202019,0.7676767676767676,0.0
9.212121212121211,0.7676767676767676,0.0
9.404040404040403,0.7676767676767676,0.0
9.595959595959595,0.7676767676767676,0.0
9.787878787878787,0.7676767676767676,0.0
9.97979797979798,0.7676767676767676,0.0
10.171717171717171,0.7676767676767676,0.0
10.363636363636363,0.7676767676767676,0.0
10.555555555555555,0.7676767676767676,0.0
10.747474747474747,0.7676767676767676,0.0
10.93939393939394,0.7676767676767676,0.0
11.13131313131313,0.7676767676767676,0.0
11.323232323232322,0.7676767676767676,0.0
11.515151515151514,0.7676767676767676,0.0
11.707070707070706,0.7676767676767676,0.0
11.898989898989898,0.7676767676767676,0.0
12.09090909090909,0.7676767676767676,0.0
12.282828282828282,0.7676767676767676,0.0
12.474747474747474,0.7676767676767676,0.0
12.666666666666666,0.7676767676767676,0.0
12.858585858585858,0.7676767676767676,0.0
13.05050505050505,0.7676767676767676,0.0
13.242424242424242,0.7676767676767676,0.0
13.434343434343434,0.7676767676767676,0.0
13.626262626262625,0.7676767676767676,0.0
13.818181818181817,0.7676767676767676,0.0
14.010101010101009,0.7676767676767676,0.0
14.2020202020202,0.7676767676767676,0.0
14.393939393939393,0.7676767676767676,0.0
14.585858585858585,0.7676767676767676,0.0
14.777777777777777,0.7676767676767676,0.0
14.969696969696969,0.7676767676767676,0.0
15.16161616161616,0.7676767676767676,0.0
15.353535353535353,0.7676767676767676,0.0
15.545454545454545,0.7676767676767676,0.0
15.737373737373737,0.7676767676767676,0.0
15.929292929292929,0.7676767676767676,0.0
16.12121212121212,0.7676767676767676,0.0
16.31313131313131,0.7676767676767676,0.0
16.505050505050505,0.7676767676767676,0.0
16.696969696969695,0.7676767676767676,0.0
16.88888888888889,0.7676767676767676,0.0
17.08080808080808,0.7676767676767676,0.0
17.27272727272727,0.7676767676767676,0.0
17.464646464646464,0.7676767676767676,0.0
17.656565656565654,0.7676767676767676,0.0
17.848484848484848,0.7676767676767676,0.0
18.040404040404038,0.7676767676767676,0.0
18.232323232323232,0.7676767676767676,0.0
18.424242424242422,0.7676767676767676,0.0
18.616161616161616,0.7676767676767676,0.0
18.808080808080806,0.7676767676767676,0.0
19.0,0.7676767676767676,0.0
0.0,0.9595959595959596,0.0
0.1919191919191919,0.9595959595959596,0.0
0.3838383838383838,0.9595959595959596,0.0
0.5757575757575757,0.9595959595959596,0.0
0.7676767676767676,0.9595959595959596,0.0
0.9595959595959596,0.9595959595959596,0.0
1.1515151515151514,0.9595959595959596,0.0
1.3434343434343434,0.9595959595959596,0.0
1.5353535353535352,0.9595959595959596,0.0
1.727272727272727,0.9595959595959596,0.0
1.9191919191919191,0.9595959595959596,0.0
2.111111111111111,0.9595959595959596,0.0
2.3030303030303028,0.9595959595959596,0.0
2.494949494949495,0.9595959595959596,0.0
2.686868686868687,0.9595959595959596,0.0
2.8787878787878785,0.9595959595959596,0.0
3.0707070707070705,0.9595959595959596,0.0
3.2626262626262625,0.9595959595959596,0.0
3.454545454545454,0.9595959595959596,0.0
3.646464646464646,0.9595959595959596,0.0
3.8383838383838382,0.9595959595959596,0.0
4.03030303030303,0.9595959595959596,0.0
4.222222222222222,0.9595959595959596,0.0
4.4141414141414135,0.9595959595959596,0.0
4.6060606060606055,0.9595959595959596,0.0
4.797979797979798,0.9595959595959596,0.0
4.98989898989899,0.9595959595959596,0.0
5.181818181818182,0.9595959595959596,0.0
5.373737373737374,0.9595959595959596,0.0
5.565656565656565,0.9595959595959596,0.0
5.757575757575757,0.9595959595959596,0.0
5.949494949494949,0.9595959595959596,0.0
6.141414141414141,0.9595959595959596,0.0
6.333333333333333,0.9595959595959596,0.0
6.525252525252525,0.9595959595959596,0.0
6.717171717171717,0.9595959595959596,0.0
6.909090909090908,0.9595959595959596,0.0
7.1010101010101,0.9595959595959596,0.0
7.292929292929292,0.9595959595959596,0.0
7.484848484848484,0.9595959595959596,0.0
7.6767676767676765,0.9595959595959596,0.0
7.8686868686868685,0.9595959595959596,0.0
8.06060606060606,0.9595959595959596,0.0
8.252525252525253,0.9595959595959596,0.0
8.444444444444445,0.9595959595959596,0.0
8.636363636363635,0.9595959595959596,0.0
8.828282828282827,0.9595959595959596,0.0
9.020202020202019,0.9595959595959596,0.0
9.212121212121211,0.9595959595959596,0.0
9.404040404040403,0.9595959595959596,0.0
9.595959595959595,0.9595959595959596,0.0
9.787878787878787,0.9595959595959596,0.0
9.97979797979798,0.9595959595959596,0.0
10.171717171717171,0.9595959595959596,0.0
10.363636363636363,0.9595959595959596,0.0
10.555555555555555,0.9595959595959596,0.0
10.747474747474747,0.9595959595959596,0.0
10.93939393939394,0.9595959595959596,0.0
11.13131313131313,0.9595959595959596,0.0
11.323232323232322,0.9595959595959596,0.0
11.515151515151514,0.9595959595959596,0.0
11.707070707070706,0.9595959595959596,0.0
11.898989898989898,0.9595959595959596,0.0
12.09090909090909,0.9595959595959596,0.0
12.282828282828282,0.9595959595959596,0.0
12.474747474747474,0.9595959595959596,0.0
12.666666666666666,0.9595959595959596,0.0
12.858585858585858,0.9595959595959596,0.0
13.05050505050505,0.9595959595959596,0.0
13.242424242424242,0.9595959595959596,0.0
13.434343434343434,0.9595959595959596,0.0
13.626262626262625,0.9595959595959596,0.0
13.818181818181817,0.9595959595959596,0.0
14.010101010101009,0.9595959595959596,0.0
14.2020202020202,0.9595959595959596,0.0
14.393939393939393,0.9595959595959596,0.0
14.585858585858585,0.9595959595959596,0.0
14.777777777777777,0.9595959595959596,0.0
14.969696969696969,0.9595959595959596,0.0
15.16161616161616,0.9595959595959596,0.0
15.353535353535353,0.9595959595959596,0.0
15.545454545454545,0.9595959595959596,0.0
15.737373737373737,0.9595959595959596,0.0
15.929292929292929,0.9595959595959596,0.0
16.12121212121212,0.9595959595959596,0.0
16.31313131313131,0.9595959595959596,0.0
16.505050505050505,0.9595959595959596,0.0
16.696969696969695,0.9595959595959596,0.0
16.88888888888889,0.9595959595959596,0.0
17.08080808080808,0.9595959595959596,0.0
17.27272727272727,0.9595959595959596,0.0
17.464646464646464,0.9595959595959596,0.0
17.656565656565654,0.9595959595959596,0.0
17.848484848484848,0.9595959595959596,0.0
18.040404040404038,0.9595959595959596,0.0
18.232323232323232,0.9595959595959596,0.0
18.424242424242422,0.9595959595959596,0.0
18.616161616161616,0.9595959595959596,0.0
18.808080808080806,0.9595959595959596,0.0
19.0,0.9595959595959596,0.0
0.0,1.1515151515151514,0.0
0.1919191919191919,1.1515151515151514,0.0
0.3838383838383838,1.1515151515151514,0.0
0.5757575757575757,1.1515151515151514,0.0
0.7676767676767676,1.1515151515151514,0.0
0.9595959595959596,1.1515151515151514,0.0
1.1515151515151514,1.1515151515151514,0.0
1.3434343434343434,1.1515151515151514,0.0
1.5353535353535352,1.1515151515151514,0.0
1.727272727272727,1.1515151515151514,0.0
1.9191919191919191,1.1515151515151514,0.0
2.111111111111111,1.1515151515151514,0.0
2.3030303030303028,1.1515151515151514,0.0
2.494949494949495,1.1515151515151514,0.0
2.686868686868687,1.1515151515151514,0.0
2.8787878787878785,1.1515151515151514,0.0
3.0707070707070705,1.1515151515151514,0.0
3.2626262626262625,1.1515151515151514,0.0
3.454545454545454,1.1515151515151514,0.0
3.646464646464646,1.1515151515151514,0.0
3.8383838383838382,1.1515151515151514,0.0
4.03030303030303,1.1515151515151514,0.0
4.222222222222222,1.1515151515151514,0.0
4.4141414141414135,1.1515151515151514,0.0
4.6060606060606055,1.1515151515151514,0.0
4.797979797979798,1.1515151515151514,0.0
4.98989898989899,1.1515151515151514,0.0
5.181818181818182,1.1515151515151514,0.0
5.373737373737374,1.1515151515151514,0.0
5.565656565656565,1.1515151515151514,0.0
5.757575757575757,1.1515151515151514,0.0
5.949494949494949,1.1515151515151514,0.0
6.141414141414141,1.1515151515151514,0.0
6.333333333333333,1.1515151515151514,0.0
6.525252525252525,1.1515151515151514,0.0
6.717171717171717,1.1515151515151514,0.0
6.909090909090908,1.1515151515151514,0.0
7.1010101010101,1.1515151515151514,0.0
7.292929292929292,1.1515151515151514,0.0
7.484848484848484,1.1515151515151514,0.0
7.6767676767676765,1.1515151515151514,0.0
7.8686868686868685,1.1515151515151514,0.0
8.06060606060606,1.1515151515151514,0.0
8.252525252525253,1.1515151515151514,0.0
8.444444444444445,1.1515151515151514,0.0
8.636363636363635,1.1515151515151514,0.0
8.828282828282827,1.1515151515151514,0.0
9.020202020202019,1.1515151515151514,0.0
9.212121212121211,1.1515151515151514,0.0
9.404040404040403,1.1515151515151514,0.0
9.595959595959595,1.1515151515151514,0.0
9.787878787878787,1.1515151515151514,0.0
9.97979797979798,1.1515151515151514,0.0
10.171717171717171,1.1515151515151514,0.0
10.363636363636363,1.1515151515151514,0.0
10.555555555555555,1.1515151515151514,0.0
10.747474747474747,1.1515151515151514,0.0
10.93939393939394,1.1515151515151514,0.0
11.13131313131313,1.1515151515151514,0.0
11.323232323232322,1.1515151515151514,0.0
11.515151515151514,1.1515151515151514,0.0
11.707070707070706,1.1515151515151514,0.0
11.898989898989898,1.1515151515151514,0.0
12.09090909090909,1.1515151515151514,0.0
12.282828282828282,1.1515151515151514,0.0
12.474747474747474,1.1515151515151514,0.0
12.666666666666666,1.1515151515151514,0.0
12.858585858585858,1.1515151515151514,0.0
13.05050505050505,1.1515151515151514,0.0
13.242424242424242,1.1515151515151514,0.0
13.434343434343434,1.1515151515151514,0.0
13.626262626262625,1.1515151515151514,0.0
13.818181818181817,1.1515151515151514,0.0
14.010101010101009,1.1515151515151514,0.0
14.2020202020202,1.1515151515151514,0.0
14.393939393939393,1.1515151515151514,0.0
14.585858585858585,1.1515151515151514,0.0
14.777777777777777,1.1515151515151514,0.0
14.969696969696969,1.1515151515151514,0.0
15.16161616161616,1.1515151515151514,0.0
15.353535353535353,1.1515151515151514,0.0
15.545454545454545,1.1515151515151514,0.0
15.737373737373737,1.1515151515151514,0.0
15.929292929292929,1.1515151515151514,0.0
16.12121212121212,1.1515151515151514,0.0
16.31313131313131,1.1515151515151514,0.0
